complaint_id,description,violation_category
C03624,Based on teacher's report uminom ng alak sa library. (using another person’s identity),Using Another Person’s Identity
C03625,caught siya na nag-aaway sa library. (drug pushing),Drug Pushing
C03626,It was reported that nagpost ng bastos na picture malapit sa gate. (using gadgets without permission),Using Gadgets Without Permission
C03627,It was reported that sumisigaw sa canteen. (forgery),Forgery
C03628,The student was caught naka improper uniform sa gym. (grave threats),Grave Threats
C03629,sinabihan ako na nang-insulto ng teacher sa gym. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C03630,Based on teacher's report nang-insulto ng teacher sa classroom. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C03631,The student was caught nagpost ng bastos na picture sa computer lab. (grave threats),Grave Threats
C03632,Based on teacher's report naka improper uniform sa library. (displaying pornographic materials),Displaying Pornographic Materials
C03633,nagreport si teacher na uminom ng alak sa hallway. (public display of affection),Public Display of Affection
C03634,As stated in the complaint nakipagsuntukan sa hallway. (using another person’s identity),Using Another Person’s Identity
C03635,Based on teacher's report nang-insulto ng teacher sa canteen. (posting indecent pictures online),Posting Indecent Pictures Online
C03636,Based on teacher's report nagdala ng cellphone kahit bawal malapit sa gate. (using gadgets without permission),Using Gadgets Without Permission
C03637,nagreport si teacher na nangopya sa classroom. (grave threats),Grave Threats
C03638,nahuli siya na naka improper uniform sa classroom. (wearing improper pe uniform),Wearing Improper PE Uniform
C03639,nagreport si teacher na nang-insulto ng teacher sa gym. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C03640,may nagsumbong na naglagay ng sticker sa ID sa library. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C03641,The student was caught sumisigaw sa library. (inciting others to break rules),Inciting Others to Break Rules
C03642,According to CCTV footage sumisigaw sa gym. (unauthorized access to school computer),Unauthorized Access to School Computer
C03643,It was reported that naglagay ng sticker sa ID sa computer lab. (real acts of threat),Real Acts of Threat
C03644,caught siya na uminom ng alak sa library. (falsification of documents),Falsification of Documents
C03645,sinabihan ako na naglagay ng sticker sa ID sa library. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C03646,The student was observed sumisigaw sa classroom. (bringing dishonor to school),Bringing Dishonor to School
C03647,Based on teacher's report nagpost ng bastos na picture malapit sa gate. (engaging in premarital sex),Engaging in Premarital Sex
C03648,nagreport si teacher na nang-insulto ng teacher sa computer lab. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C03649,nakita ko na naka improper uniform sa hallway. (using foul gestures),Using Foul Gestures
C03650,According to CCTV footage uminom ng alak sa computer lab. (displaying pornographic materials),Displaying Pornographic Materials
C03651,nakita ko na nakipagsuntukan sa computer lab. (verbal or physical altercation),Verbal or Physical Altercation
C03652,The student was observed nagyoyosi sa library. (extortion or blackmail),Extortion or Blackmail
C03653,According to CCTV footage nagyoyosi sa classroom. (insubordination to authorities),Insubordination to Authorities
C03654,It was reported that walang suot na ID sa library. (stealing school or student property),Stealing School or Student Property
C03655,nahuli siya na nakipagsuntukan sa canteen. (spreading gossip online),Spreading Gossip Online
C03656,sinabihan ako na uminom ng alak sa classroom. (tampering with network settings),Tampering with Network Settings
C03657,The student was caught nangopya sa canteen. (engaging in gambling),Engaging in Gambling
C03658,nahuli siya na uminom ng alak sa computer lab. (placing stickers on school id),Placing Stickers on School ID
C03659,As stated in the complaint naka improper uniform sa computer lab. (wearing improper pe uniform),Wearing Improper PE Uniform
C03660,The student was caught naka improper uniform malapit sa gate. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C03661,As stated in the complaint nang-insulto ng teacher sa hallway. (lack of respect to faculty),Lack of Respect to Faculty
C03662,As stated in the complaint nagche-cheat sa exam sa library. (providing or financing drugs),Providing or Financing Drugs
C03663,caught siya na naglagay ng sticker sa ID malapit sa gate. (bullying students physically),Bullying Students Physically
C03664,caught siya na nagyoyosi sa canteen. (tampering with network settings),Tampering with Network Settings
C03665,caught siya na sumisigaw sa classroom. (extortion or blackmail),Extortion or Blackmail
C03666,nagreport si teacher na nangopya sa canteen. (placing stickers on school id),Placing Stickers on School ID
C03667,sinabihan ako na sumisigaw malapit sa gate. (littering the campus),Littering the Campus
C03668,nahuli siya na walang suot na ID sa library. (extortion or blackmail),Extortion or Blackmail
C03669,Based on teacher's report nagdala ng cellphone kahit bawal sa canteen. (shoplifting),Shoplifting
C03670,sinabihan ako na nag-aaway sa classroom. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C03671,As stated in the complaint nagyoyosi sa hallway. (forging signatures),Forging Signatures
C03672,caught siya na nakipagsuntukan sa computer lab. (unauthorized access to school computer),Unauthorized Access to School Computer
C03673,nagreport si teacher na sumisigaw sa computer lab. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C03674,It was reported that nagpost ng bastos na picture sa canteen. (jumping over the fence),Jumping Over the Fence
C03675,caught siya na nagpost ng bastos na picture sa computer lab. (jumping over the fence),Jumping Over the Fence
C03676,According to CCTV footage nangopya sa gym. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C03677,Based on teacher's report naglagay ng sticker sa ID sa classroom. (posting destructive language online),Posting Destructive Language Online
C03678,As stated in the complaint nag-aaway sa library. (engaging in gambling),Engaging in Gambling
C03679,The student was observed sumisigaw sa library. (using foul gestures),Using Foul Gestures
C03680,The student was caught nag-aaway sa hallway. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C03681,sinabihan ako na nang-insulto ng teacher sa classroom. (organizing destructive groups),Organizing Destructive Groups
C03682,nakita ko na nangopya sa computer lab. (verbal or physical altercation),Verbal or Physical Altercation
C03683,The student was observed nagche-cheat sa exam sa library. (assault fellow students),Assault Fellow Students
C03684,According to CCTV footage walang suot na ID sa gym. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C03685,may nagsumbong na naka improper uniform sa classroom. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C03686,Based on teacher's report naka improper uniform sa computer lab. (littering the campus),Littering the Campus
C03687,caught siya na naka improper uniform sa computer lab. (posting destructive language online),Posting Destructive Language Online
C03688,nakita ko na nagdala ng cellphone kahit bawal sa gym. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C03689,nahuli siya na walang suot na ID sa gym. (using foul gestures),Using Foul Gestures
C03690,sinabihan ako na nagdala ng cellphone kahit bawal sa library. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C03691,sinabihan ako na nagche-cheat sa exam sa library. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C03692,sinabihan ako na naka improper uniform sa computer lab. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C03693,may nagsumbong na walang suot na ID sa canteen. (bringing dishonor to school),Bringing Dishonor to School
C03694,nahuli siya na sumisigaw sa hallway. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C03695,may nagsumbong na nagdala ng cellphone kahit bawal malapit sa gate. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C03696,sinabihan ako na naka improper uniform sa library. (failure to comply with investigation),Failure to Comply with Investigation
C03697,It was reported that nakipagsuntukan sa gym. (bullying students physically),Bullying Students Physically
C03698,It was reported that nakipagsuntukan sa computer lab. (assault fellow students),Assault Fellow Students
C03699,Based on teacher's report naka improper uniform sa hallway. (providing or financing drugs),Providing or Financing Drugs
C03700,Based on teacher's report naka improper uniform malapit sa gate. (insubordination to authorities),Insubordination to Authorities
C03701,The student was caught nang-insulto ng teacher sa computer lab. (inciting others to break rules),Inciting Others to Break Rules
C03702,Based on teacher's report nagdala ng cellphone kahit bawal sa gym. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C03703,Based on teacher's report nag-aaway sa gym. (vandalism),Vandalism
C03704,nagreport si teacher na nagpost ng bastos na picture malapit sa gate. (drug pushing),Drug Pushing
C03705,nagreport si teacher na nakipagsuntukan sa gym. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C03706,nakita ko na nagdala ng cellphone kahit bawal sa library. (organizing destructive groups),Organizing Destructive Groups
C03707,The student was observed nagche-cheat sa exam sa hallway. (engaging in premarital sex),Engaging in Premarital Sex
C03708,It was reported that naglagay ng sticker sa ID sa canteen. (falsification of documents),Falsification of Documents
C03709,may nagsumbong na nakipagsuntukan sa hallway. (willful damage of property),Willful Damage of Property
C03710,sinabihan ako na nagyoyosi sa computer lab. (engaging in gambling),Engaging in Gambling
C03711,nagreport si teacher na nang-insulto ng teacher sa computer lab. (assault fellow students),Assault Fellow Students
C03712,nahuli siya na naka improper uniform sa gym. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C03713,nahuli siya na nagche-cheat sa exam sa gym. (direct assault on authority),Direct Assault on Authority
C03714,caught siya na nang-insulto ng teacher sa library. (use of foul language),Use of Foul Language
C03715,caught siya na nakipagsuntukan sa canteen. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C03716,The student was observed naka improper uniform sa canteen. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C03717,It was reported that nagyoyosi sa computer lab. (insubordination to authorities),Insubordination to Authorities
C03718,The student was observed walang suot na ID sa hallway. (unauthorized access to school computer),Unauthorized Access to School Computer
C03719,nahuli siya na nangopya sa canteen. (posting indecent pictures online),Posting Indecent Pictures Online
C03720,nagreport si teacher na nagdala ng cellphone kahit bawal sa canteen. (gambling or betting),Gambling or Betting
C03721,nagreport si teacher na nagyoyosi sa gym. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C03722,It was reported that naka improper uniform sa hallway. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C03723,According to CCTV footage nakipagsuntukan sa gym. (bullying faculty members),Bullying Faculty Members
C03724,nahuli siya na nakipagsuntukan sa computer lab. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C03725,nakita ko na sumisigaw sa classroom. (real acts of threat),Real Acts of Threat
C03726,The student was caught walang suot na ID sa canteen. (wearing school uniform improperly),Wearing School Uniform Improperly
C03727,nahuli siya na nagpost ng bastos na picture sa classroom. (deleting or damaging files),Deleting or Damaging Files
C03728,It was reported that nakipagsuntukan sa hallway. (posting indecent pictures online),Posting Indecent Pictures Online
C03729,According to CCTV footage nangopya sa hallway. (conviction for criminal offense),Conviction for Criminal Offense
C03730,According to CCTV footage naka improper uniform sa gym. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C03731,The student was caught nagyoyosi sa canteen. (direct assault on authority),Direct Assault on Authority
C03732,may nagsumbong na nangopya malapit sa gate. (assault fellow students),Assault Fellow Students
C03733,According to CCTV footage nakipagsuntukan sa hallway. (bullying students verbally),Bullying Students Verbally
C03734,Based on teacher's report nagyoyosi sa computer lab. (engaging in premarital sex),Engaging in Premarital Sex
C03735,According to CCTV footage nagdala ng cellphone kahit bawal sa gym. (bullying faculty members),Bullying Faculty Members
C03736,It was reported that nagdala ng cellphone kahit bawal sa computer lab. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C03737,caught siya na nag-aaway sa canteen. (use of foul language),Use of Foul Language
C03738,The student was caught nangopya malapit sa gate. (posting indecent pictures online),Posting Indecent Pictures Online
C03739,It was reported that nagpost ng bastos na picture malapit sa gate. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C03740,sinabihan ako na nakipagsuntukan sa gym. (lack of respect to faculty),Lack of Respect to Faculty
C03741,may nagsumbong na nagche-cheat sa exam malapit sa gate. (bullying students verbally),Bullying Students Verbally
C03742,Based on teacher's report sumisigaw malapit sa gate. (unauthorized access to school computer),Unauthorized Access to School Computer
C03743,It was reported that nag-aaway sa library. (posting destructive language online),Posting Destructive Language Online
C03744,nakita ko na nang-insulto ng teacher sa canteen. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C03745,caught siya na sumisigaw sa gym. (stealing school or student property),Stealing School or Student Property
C03746,The student was observed nangopya sa computer lab. (unauthorized use of information),Unauthorized Use of Information
C03747,nahuli siya na nag-aaway sa computer lab. (jumping over the fence),Jumping Over the Fence
C03748,caught siya na nakipagsuntukan sa library. (forging signatures),Forging Signatures
C03749,nahuli siya na nagche-cheat sa exam malapit sa gate. (spreading gossip online),Spreading Gossip Online
C03750,It was reported that nakipagsuntukan malapit sa gate. (leaving classroom without permission),Leaving Classroom Without Permission
C03751,sinabihan ako na naglagay ng sticker sa ID sa gym. (using gadgets without permission),Using Gadgets Without Permission
C03752,sinabihan ako na nagdala ng cellphone kahit bawal sa computer lab. (bullying faculty members),Bullying Faculty Members
C03753,nakita ko na naka improper uniform sa library. (participating in indecent conduct),Participating in Indecent Conduct
C03754,nakita ko na nagche-cheat sa exam sa gym. (vandalism),Vandalism
C03755,nagreport si teacher na nagpost ng bastos na picture sa hallway. (insubordination to authorities),Insubordination to Authorities
C03756,may nagsumbong na naglagay ng sticker sa ID sa hallway. (viewing pornographic sites),Viewing Pornographic Sites
C03757,nahuli siya na nang-insulto ng teacher sa hallway. (unauthorized access to school computer),Unauthorized Access to School Computer
C03758,sinabihan ako na nagche-cheat sa exam malapit sa gate. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C03759,nagreport si teacher na nagyoyosi sa canteen. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C03760,The student was caught naka improper uniform malapit sa gate. (real acts of threat),Real Acts of Threat
C03761,caught siya na nagche-cheat sa exam sa computer lab. (providing or financing drugs),Providing or Financing Drugs
C03762,nakita ko na naglagay ng sticker sa ID sa canteen. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C03763,According to CCTV footage nagdala ng cellphone kahit bawal sa canteen. (unauthorized access to school computer),Unauthorized Access to School Computer
C03764,The student was caught nang-insulto ng teacher sa canteen. (providing or financing drugs),Providing or Financing Drugs
C03765,Based on teacher's report uminom ng alak malapit sa gate. (not attending school activities),Not Attending School Activities
C03766,nagreport si teacher na nang-insulto ng teacher sa computer lab. (displaying pornographic materials),Displaying Pornographic Materials
C03767,may nagsumbong na walang suot na ID malapit sa gate. (gambling or betting),Gambling or Betting
C03768,Based on teacher's report uminom ng alak sa classroom. (extortion or blackmail),Extortion or Blackmail
C03769,Based on teacher's report nagche-cheat sa exam malapit sa gate. (not attending school activities),Not Attending School Activities
C03770,It was reported that naglagay ng sticker sa ID sa classroom. (use of foul language),Use of Foul Language
C03771,It was reported that nagdala ng cellphone kahit bawal sa canteen. (use of foul language),Use of Foul Language
C03772,It was reported that nag-aaway sa computer lab. (willful damage of property),Willful Damage of Property
C03773,According to CCTV footage nangopya sa computer lab. (not attending school activities),Not Attending School Activities
C03774,The student was caught naka improper uniform sa classroom. (wearing heavy make-up),Wearing Heavy Make-up
C03775,nahuli siya na nangopya sa canteen. (bullying students physically),Bullying Students Physically
C03776,According to CCTV footage nagche-cheat sa exam sa classroom. (not attending school activities),Not Attending School Activities
C03777,nagreport si teacher na naglagay ng sticker sa ID sa classroom. (using gadgets without permission),Using Gadgets Without Permission
C03778,Based on teacher's report nagyoyosi malapit sa gate. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C03779,sinabihan ako na uminom ng alak sa gym. (using foul gestures),Using Foul Gestures
C03780,nahuli siya na naka improper uniform sa classroom. (placing stickers on school id),Placing Stickers on School ID
C03781,nahuli siya na nagdala ng cellphone kahit bawal sa library. (stealing school or student property),Stealing School or Student Property
C03782,may nagsumbong na nagche-cheat sa exam sa library. (falsification of documents),Falsification of Documents
C03783,nakita ko na nang-insulto ng teacher sa gym. (drug pushing),Drug Pushing
C03784,The student was observed nag-aaway sa gym. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C03785,The student was observed naglagay ng sticker sa ID sa hallway. (failure to comply with investigation),Failure to Comply with Investigation
C03786,nagreport si teacher na uminom ng alak sa classroom. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C03787,As stated in the complaint nagdala ng cellphone kahit bawal sa classroom. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C03788,may nagsumbong na nangopya sa gym. (placing stickers on school id),Placing Stickers on School ID
C03789,The student was observed naka improper uniform malapit sa gate. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C03790,nahuli siya na nakipagsuntukan sa classroom. (unauthorized access to school computer),Unauthorized Access to School Computer
C03791,It was reported that walang suot na ID sa computer lab. (organizing destructive groups),Organizing Destructive Groups
C03792,According to CCTV footage nagyoyosi sa computer lab. (grave threats),Grave Threats
C03793,nakita ko na naglagay ng sticker sa ID sa computer lab. (use of foul language),Use of Foul Language
C03794,As stated in the complaint nag-aaway sa gym. (bullying students verbally),Bullying Students Verbally
C03795,As stated in the complaint nakipagsuntukan malapit sa gate. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C03796,According to CCTV footage nagyoyosi sa hallway. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C03797,may nagsumbong na naka improper uniform sa gym. (membership in fraternities),Membership in Fraternities
C03798,According to CCTV footage nakipagsuntukan sa canteen. (spreading gossip online),Spreading Gossip Online
C03799,caught siya na sumisigaw malapit sa gate. (membership in fraternities),Membership in Fraternities
C03800,According to CCTV footage sumisigaw sa classroom. (posting indecent pictures online),Posting Indecent Pictures Online
C03801,The student was observed uminom ng alak malapit sa gate. (lack of respect to faculty),Lack of Respect to Faculty
C03802,caught siya na nakipagsuntukan sa computer lab. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C03803,caught siya na sumisigaw sa canteen. (wearing improper pe uniform),Wearing Improper PE Uniform
C03804,nakita ko na walang suot na ID sa library. (leaving classroom without permission),Leaving Classroom Without Permission
C03805,The student was caught uminom ng alak sa canteen. (inciting others to break rules),Inciting Others to Break Rules
C03806,nahuli siya na nangopya sa computer lab. (not attending school activities),Not Attending School Activities
C03807,The student was caught nakipagsuntukan sa computer lab. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C03808,nakita ko na nagyoyosi sa library. (spreading gossip online),Spreading Gossip Online
C03809,nahuli siya na nagche-cheat sa exam sa library. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C03810,sinabihan ako na nangopya sa classroom. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C03811,As stated in the complaint nagyoyosi malapit sa gate. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C03812,nagreport si teacher na uminom ng alak sa gym. (tampering with network settings),Tampering with Network Settings
C03813,As stated in the complaint nagpost ng bastos na picture sa library. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C03814,The student was caught nang-insulto ng teacher sa canteen. (bringing dishonor to school),Bringing Dishonor to School
C03815,The student was caught walang suot na ID sa classroom. (spreading gossip online),Spreading Gossip Online
C03816,sinabihan ako na naglagay ng sticker sa ID sa classroom. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C03817,According to CCTV footage nang-insulto ng teacher sa computer lab. (forgery),Forgery
C03818,It was reported that naka improper uniform sa computer lab. (engaging in gambling),Engaging in Gambling
C03819,nagreport si teacher na nagyoyosi sa gym. (bringing dishonor to school),Bringing Dishonor to School
C03820,may nagsumbong na nangopya sa classroom. (organizing destructive groups),Organizing Destructive Groups
C03821,The student was caught uminom ng alak sa canteen. (indecent attire),Indecent Attire
C03822,sinabihan ako na nagyoyosi sa computer lab. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C03823,It was reported that naglagay ng sticker sa ID sa hallway. (wearing improper pe uniform),Wearing Improper PE Uniform
C03824,nahuli siya na uminom ng alak sa computer lab. (grave threats),Grave Threats
C03825,caught siya na nagche-cheat sa exam sa classroom. (posting indecent pictures online),Posting Indecent Pictures Online
C03826,It was reported that nagyoyosi sa gym. (organizing destructive groups),Organizing Destructive Groups
C03827,Based on teacher's report nag-aaway sa canteen. (using another person’s identity),Using Another Person’s Identity
C03828,caught siya na uminom ng alak sa library. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C03829,As stated in the complaint nangopya sa classroom. (indecent attire),Indecent Attire
C03830,Based on teacher's report nagyoyosi sa computer lab. (stealing school or student property),Stealing School or Student Property
C03831,It was reported that nakipagsuntukan sa library. (membership in fraternities),Membership in Fraternities
C03832,nagreport si teacher na nagche-cheat sa exam sa library. (indecent attire),Indecent Attire
C03833,caught siya na walang suot na ID sa classroom. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C03834,may nagsumbong na sumisigaw sa classroom. (indecent attire),Indecent Attire
C03835,Based on teacher's report nangopya sa computer lab. (tampering with network settings),Tampering with Network Settings
C03836,It was reported that nang-insulto ng teacher sa classroom. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C03837,nahuli siya na sumisigaw sa canteen. (littering the campus),Littering the Campus
C03838,nakita ko na nag-aaway sa gym. (conviction for criminal offense),Conviction for Criminal Offense
C03839,nagreport si teacher na nagdala ng cellphone kahit bawal sa canteen. (using another person’s identity),Using Another Person’s Identity
C03840,nakita ko na walang suot na ID sa computer lab. (posting destructive language online),Posting Destructive Language Online
C03841,sinabihan ako na nangopya sa classroom. (providing or financing drugs),Providing or Financing Drugs
C03842,may nagsumbong na nang-insulto ng teacher sa canteen. (providing or financing drugs),Providing or Financing Drugs
C03843,may nagsumbong na sumisigaw sa canteen. (jumping over the fence),Jumping Over the Fence
C03844,Based on teacher's report nagche-cheat sa exam sa classroom. (leaving classroom without permission),Leaving Classroom Without Permission
C03845,may nagsumbong na nagdala ng cellphone kahit bawal sa computer lab. (wearing heavy make-up),Wearing Heavy Make-up
C03846,The student was observed walang suot na ID sa hallway. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C03847,nagreport si teacher na nagpost ng bastos na picture sa library. (vandalism),Vandalism
C03848,nagreport si teacher na nagdala ng cellphone kahit bawal sa computer lab. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C03849,nakita ko na nagche-cheat sa exam sa hallway. (displaying pornographic materials),Displaying Pornographic Materials
C03850,nagreport si teacher na nagpost ng bastos na picture sa hallway. (displaying pornographic materials),Displaying Pornographic Materials
C03851,As stated in the complaint nangopya malapit sa gate. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C03852,It was reported that uminom ng alak sa canteen. (conviction for criminal offense),Conviction for Criminal Offense
C03853,The student was caught nagyoyosi sa canteen. (wearing scarves or caps),Wearing Scarves or Caps
C03854,As stated in the complaint uminom ng alak sa canteen. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C03855,nagreport si teacher na nangopya sa gym. (wearing heavy make-up),Wearing Heavy Make-up
C03856,caught siya na nagpost ng bastos na picture malapit sa gate. (providing or financing drugs),Providing or Financing Drugs
C03857,According to CCTV footage nag-aaway sa gym. (lack of respect to faculty),Lack of Respect to Faculty
C03858,caught siya na walang suot na ID malapit sa gate. (unauthorized use of information),Unauthorized Use of Information
C03859,caught siya na nag-aaway sa classroom. (deleting or damaging files),Deleting or Damaging Files
C03860,may nagsumbong na nagdala ng cellphone kahit bawal sa gym. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C03861,As stated in the complaint sumisigaw sa gym. (forgery),Forgery
C03862,As stated in the complaint nagyoyosi sa classroom. (vandalism),Vandalism
C03863,It was reported that nang-insulto ng teacher sa computer lab. (forging signatures),Forging Signatures
C03864,Based on teacher's report naka improper uniform sa classroom. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C03865,Based on teacher's report naglagay ng sticker sa ID sa computer lab. (consistent violation of rules),Consistent Violation of Rules
C03866,nakita ko na nagyoyosi sa classroom. (inciting others to break rules),Inciting Others to Break Rules
C03867,caught siya na nagdala ng cellphone kahit bawal sa canteen. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C03868,As stated in the complaint uminom ng alak sa gym. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C03869,It was reported that nangopya sa classroom. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C03870,As stated in the complaint nagche-cheat sa exam sa computer lab. (littering the campus),Littering the Campus
C03871,nakita ko na walang suot na ID sa classroom. (using another person’s identity),Using Another Person’s Identity
C03872,nagreport si teacher na nakipagsuntukan sa gym. (insubordination to authorities),Insubordination to Authorities
C03873,sinabihan ako na uminom ng alak sa gym. (jumping over the fence),Jumping Over the Fence
C03874,The student was caught nang-insulto ng teacher sa library. (willful damage of property),Willful Damage of Property
C03875,According to CCTV footage naka improper uniform malapit sa gate. (verbal or physical altercation),Verbal or Physical Altercation
C03876,sinabihan ako na nag-aaway sa computer lab. (littering the campus),Littering the Campus
C03877,It was reported that walang suot na ID sa classroom. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C03878,caught siya na uminom ng alak sa library. (wearing heavy make-up),Wearing Heavy Make-up
C03879,It was reported that nagpost ng bastos na picture sa canteen. (insubordination to authorities),Insubordination to Authorities
C03880,nagreport si teacher na nagche-cheat sa exam sa classroom. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C03881,nahuli siya na sumisigaw sa computer lab. (forging signatures),Forging Signatures
C03882,nahuli siya na nagyoyosi sa computer lab. (direct assault on authority),Direct Assault on Authority
C03883,nahuli siya na walang suot na ID sa gym. (direct assault on authority),Direct Assault on Authority
C03884,nagreport si teacher na nakipagsuntukan sa gym. (wearing school uniform improperly),Wearing School Uniform Improperly
C03885,nakita ko na nagyoyosi sa hallway. (bullying faculty members),Bullying Faculty Members
C03886,It was reported that naka improper uniform sa canteen. (inciting others to break rules),Inciting Others to Break Rules
C03887,nakita ko na nagche-cheat sa exam sa hallway. (bringing dishonor to school),Bringing Dishonor to School
C03888,As stated in the complaint nagdala ng cellphone kahit bawal sa library. (willful damage of property),Willful Damage of Property
C03889,nakita ko na walang suot na ID sa hallway. (spreading gossip online),Spreading Gossip Online
C03890,nahuli siya na uminom ng alak sa hallway. (organizing destructive groups),Organizing Destructive Groups
C03891,may nagsumbong na nangopya malapit sa gate. (bullying students verbally),Bullying Students Verbally
C03892,nagreport si teacher na sumisigaw sa canteen. (vandalism),Vandalism
C03893,sinabihan ako na nagpost ng bastos na picture sa library. (insubordination to authorities),Insubordination to Authorities
C03894,The student was caught nangopya malapit sa gate. (public display of affection),Public Display of Affection
C03895,The student was observed naglagay ng sticker sa ID malapit sa gate. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C03896,The student was caught walang suot na ID sa library. (public display of affection),Public Display of Affection
C03897,nagreport si teacher na nangopya malapit sa gate. (wearing heavy make-up),Wearing Heavy Make-up
C03898,nagreport si teacher na nangopya sa computer lab. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C03899,may nagsumbong na naglagay ng sticker sa ID sa library. (unauthorized use of information),Unauthorized Use of Information
C03900,According to CCTV footage naka improper uniform sa gym. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C03901,sinabihan ako na nagdala ng cellphone kahit bawal sa canteen. (falsification of documents),Falsification of Documents
C03902,sinabihan ako na naka improper uniform sa computer lab. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C03903,caught siya na nagche-cheat sa exam sa gym. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C03904,As stated in the complaint nagche-cheat sa exam sa gym. (jumping over the fence),Jumping Over the Fence
C03905,nahuli siya na uminom ng alak sa hallway. (membership in fraternities),Membership in Fraternities
C03906,nagreport si teacher na naka improper uniform sa hallway. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C03907,sinabihan ako na nakipagsuntukan sa canteen. (viewing pornographic sites),Viewing Pornographic Sites
C03908,Based on teacher's report nagpost ng bastos na picture sa hallway. (tampering with network settings),Tampering with Network Settings
