frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,no_violation_count,avg_severity,behavior_ratio,next_repeated_violation
18,2,3,0,5,1,3,1.4,4.5,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
3,3,3,1,3,1,13,3.0,0.214,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
18,5,7,2,25,0,13,0.68,1.286,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
5,5,8,2,14,1,5,1.286,0.833,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,3,8,2,17,1,7,0.824,2.375,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
11,0,7,2,14,1,11,0.5,0.917,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,0,6,0,13,1,7,0.462,2.375,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
20,5,1,2,6,1,0,1.833,20.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
12,0,4,1,7,1,6,0.571,1.714,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
12,0,3,2,28,1,15,0.107,0.75,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
12,0,6,0,5,1,1,1.2,6.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,5,8,1,19,0,14,0.947,0.267,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
20,0,5,1,22,1,3,0.227,5.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
1,5,0,1,27,0,5,0.37,0.167,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
15,0,1,1,16,0,1,0.062,7.5,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
18,2,8,2,30,1,8,0.4,2.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
9,0,6,0,10,1,7,0.6,1.125,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
7,0,6,1,6,1,12,1.0,0.538,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
10,0,0,1,18,0,3,0.0,2.5,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,1,0,1,27,1,15,0.074,0.875,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
13,2,4,0,13,0,14,0.615,0.867,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
8,2,5,0,23,0,13,0.391,0.571,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,3,4,2,20,0,6,0.5,2.286,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
7,2,2,2,5,1,10,1.2,0.636,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,3,2,0,28,0,15,0.286,0.125,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
15,5,1,1,21,1,11,0.524,1.25,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,2,8,1,30,0,11,0.4,1.583,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,2,6,0,21,1,4,0.476,2.8,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
15,2,5,0,24,1,2,0.375,5.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,1,3,0,20,0,4,0.25,0.4,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
5,1,3,1,25,1,3,0.2,1.25,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,5,2,2,8,0,7,1.5,0.25,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
13,1,5,0,27,0,15,0.259,0.812,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,0,3,1,26,0,8,0.115,0.222,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
11,2,6,0,14,0,12,0.714,0.846,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
9,5,6,0,27,0,2,0.593,3.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
9,0,3,0,23,1,6,0.13,1.286,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
7,4,1,2,30,0,15,0.3,0.438,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,1,3,1,24,0,8,0.208,2.111,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,1,7,1,20,0,12,0.45,0.154,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
11,3,6,0,21,0,3,0.571,2.75,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,5,8,0,26,1,14,0.692,0.267,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
15,0,0,0,23,0,4,0.0,3.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
3,0,8,0,22,0,2,0.364,1.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
6,2,4,1,18,0,14,0.444,0.4,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
8,1,0,0,11,0,9,0.182,0.8,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
5,5,2,2,11,0,7,1.091,0.625,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,1,7,0,7,0,9,1.286,0.4,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
6,4,1,0,25,0,0,0.36,6.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
7,3,7,0,25,0,5,0.52,1.167,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,2,6,0,25,0,14,0.4,1.067,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,1,2,2,20,0,13,0.2,0.286,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
3,4,7,2,11,1,5,1.364,0.5,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
18,0,1,1,14,0,13,0.071,1.286,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
20,5,6,0,13,0,8,1.231,2.222,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
10,3,1,1,22,0,7,0.318,1.25,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,0,2,1,19,0,14,0.105,0.933,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
9,0,4,1,23,1,10,0.174,0.818,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
13,3,1,1,30,1,4,0.233,2.6,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,3,2,1,9,0,9,0.889,1.4,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
1,5,8,0,28,0,2,0.643,0.333,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
1,1,4,1,19,1,11,0.316,0.083,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
8,5,0,2,21,0,14,0.476,0.533,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
3,3,0,2,15,1,10,0.4,0.273,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
13,4,8,1,12,0,12,1.333,1.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
6,5,1,0,19,0,7,0.579,0.75,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
1,2,3,0,10,0,3,0.7,0.25,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,0,3,2,19,0,12,0.158,1.231,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
6,2,8,1,29,0,3,0.414,1.5,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,0,8,2,26,1,13,0.308,0.286,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,0,1,0,27,0,15,0.037,0.125,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
13,0,8,0,28,0,4,0.286,2.6,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
3,4,8,0,23,1,9,0.696,0.3,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
17,5,6,2,8,1,12,2.0,1.308,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,3,4,0,25,1,14,0.4,0.133,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,3,4,0,7,0,8,1.429,0.222,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
7,3,4,2,9,1,14,1.111,0.467,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
20,4,4,0,27,0,1,0.444,10.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
13,1,2,2,21,1,15,0.19,0.812,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
10,0,8,0,13,0,8,0.615,1.111,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
7,5,1,1,22,1,12,0.5,0.538,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,2,7,2,28,0,11,0.393,0.333,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
17,2,5,0,16,0,14,0.562,1.133,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
7,4,5,1,14,0,5,0.929,1.167,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
10,3,4,2,21,1,9,0.476,1.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
1,5,3,0,22,1,3,0.591,0.25,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
1,1,5,1,30,1,8,0.233,0.111,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
17,3,4,1,24,1,11,0.417,1.417,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
5,4,0,0,18,1,11,0.444,0.417,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,5,8,1,11,0,11,1.636,0.333,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,3,1,2,6,1,3,1.167,4.75,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,5,2,0,27,0,6,0.444,2.714,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
18,3,8,2,3,0,14,4.667,1.2,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
18,3,5,1,20,0,15,0.55,1.125,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,2,4,1,28,0,14,0.286,0.267,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
20,5,8,2,10,1,9,1.8,2.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
8,1,1,1,12,1,0,0.25,8.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,5,1,0,5,1,8,2.2,1.778,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,5,8,2,20,1,15,0.9,0.125,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
9,3,0,0,27,1,15,0.222,0.562,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,0,7,2,22,0,9,0.318,1.4,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
7,0,3,0,14,0,11,0.214,0.583,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,2,6,2,29,1,12,0.345,0.154,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,2,5,0,15,0,6,0.6,2.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
6,0,8,1,22,0,2,0.364,2.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
3,0,4,1,23,0,14,0.174,0.2,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
10,1,5,0,23,1,2,0.304,3.333,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,2,6,2,12,0,11,0.833,1.333,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
8,3,3,1,3,1,3,3.0,2.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
18,1,6,0,24,1,10,0.333,1.636,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,2,6,0,22,1,11,0.455,1.167,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
9,2,0,0,7,0,15,0.571,0.562,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
5,2,4,0,18,0,4,0.444,1.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
3,4,7,1,13,1,4,1.154,0.6,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,4,1,0,4,1,10,2.25,1.727,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
3,1,1,1,28,1,4,0.107,0.6,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,3,0,1,19,0,1,0.316,8.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
1,5,3,0,22,0,8,0.591,0.111,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
5,2,1,2,12,0,11,0.417,0.417,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
2,4,1,0,23,1,5,0.391,0.333,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,5,0,2,4,1,0,2.5,16.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
8,1,0,1,22,1,4,0.091,1.6,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
9,1,8,1,24,0,11,0.417,0.75,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,5,2,0,3,0,10,4.0,1.273,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
17,0,2,1,28,1,5,0.071,2.833,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,4,5,0,15,1,13,0.867,1.357,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
10,1,3,1,16,0,5,0.312,1.667,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,0,7,2,25,1,11,0.28,1.583,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
10,5,2,0,27,1,9,0.444,1.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
6,0,4,0,30,0,5,0.133,1.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
8,5,2,0,10,0,13,1.2,0.571,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
18,4,6,2,21,1,9,0.667,1.8,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
14,3,6,2,7,0,4,1.714,2.8,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
10,1,5,2,24,1,13,0.292,0.714,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
19,0,5,1,4,0,14,1.25,1.267,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
9,0,4,2,25,1,12,0.16,0.692,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
18,2,6,0,24,0,4,0.417,3.6,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,5,5,2,10,1,10,1.5,1.455,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
4,4,4,0,4,1,8,3.0,0.444,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
13,0,0,1,7,1,8,0.0,1.444,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
13,2,8,1,5,0,13,2.4,0.929,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
16,0,6,0,10,1,1,0.6,8.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
5,0,8,0,19,1,6,0.421,0.714,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
20,5,4,1,27,0,4,0.519,4.0,Posting Below Or Circulating Destructive Language Or Signs In The Internet Or Through Multimedia
6,5,7,0,28,0,10,0.607,0.545,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
17,3,1,1,10,0,4,0.7,3.4,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
19,0,7,0,9,1,2,0.778,6.333,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
5,5,8,2,5,0,5,3.6,0.833,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
13,0,4,2,13,0,6,0.308,1.857,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
18,3,6,2,27,0,8,0.444,2.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,0,5,0,13,0,13,0.385,0.643,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,0,3,1,17,1,3,0.176,3.5,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
10,0,5,2,28,1,11,0.179,0.833,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
12,5,5,0,4,0,4,3.75,2.4,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,1,1,1,19,0,11,0.158,0.75,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
17,5,8,2,8,1,11,2.25,1.417,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
10,0,5,0,13,1,12,0.385,0.769,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
7,3,0,0,26,1,8,0.231,0.778,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
15,0,7,2,17,1,10,0.412,1.364,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
7,1,3,0,3,0,3,1.667,1.75,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
16,4,3,2,15,0,2,0.733,5.333,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
3,2,0,1,15,0,15,0.267,0.188,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,0,1,2,14,1,4,0.071,2.8,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
15,2,6,0,19,0,14,0.526,1.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,3,0,0,22,1,14,0.273,0.6,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,4,8,1,26,0,12,0.615,1.077,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,3,0,2,6,1,4,1.0,1.8,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,0,8,0,6,1,9,1.333,0.9,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,1,1,0,26,1,7,0.115,1.125,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
18,2,5,1,14,1,3,0.643,4.5,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
2,4,0,2,15,0,11,0.533,0.167,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
3,4,1,1,19,1,3,0.474,0.75,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
6,5,8,0,24,1,0,0.75,6.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
19,0,4,2,3,1,6,1.333,2.714,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,5,7,2,10,0,3,1.7,3.5,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
5,4,2,2,20,1,0,0.5,5.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
3,0,6,1,15,1,9,0.4,0.3,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
17,5,5,0,23,1,3,0.652,4.25,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,0,4,2,27,0,0,0.148,14.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
11,3,2,2,18,0,0,0.444,11.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
17,1,6,0,15,0,3,0.533,4.25,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
15,4,3,1,5,0,0,2.2,15.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,3,2,2,10,1,13,0.8,0.643,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
12,4,1,2,16,0,0,0.562,12.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
3,1,1,0,9,1,11,0.333,0.25,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
6,3,7,0,11,0,13,1.182,0.429,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
17,0,6,1,14,1,4,0.429,3.4,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,3,4,1,21,1,3,0.476,2.25,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
1,5,7,2,18,1,9,0.944,0.1,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
17,1,8,0,10,1,2,1.0,5.667,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
20,5,0,0,18,0,11,0.556,1.667,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
6,2,4,0,24,0,10,0.333,0.545,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
1,4,3,2,11,1,15,1.0,0.062,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
5,5,7,2,10,1,10,1.7,0.455,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
19,5,2,0,14,0,9,0.857,1.9,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
20,2,1,2,5,1,13,1.0,1.429,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
4,4,6,1,15,0,8,0.933,0.444,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
3,0,4,2,28,0,13,0.143,0.214,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
20,0,2,1,12,1,4,0.167,4.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
5,2,6,2,24,1,10,0.417,0.455,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
18,5,5,1,16,0,4,0.938,3.6,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
10,0,8,2,15,1,11,0.533,0.833,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
10,2,4,2,11,0,4,0.727,2.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
7,4,1,0,20,1,2,0.45,2.333,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
18,2,5,1,10,1,4,0.9,3.6,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
10,0,8,0,10,1,12,0.8,0.769,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,5,4,2,29,0,5,0.483,1.5,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
19,3,3,1,18,1,14,0.5,1.267,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,0,3,2,22,0,14,0.136,0.933,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
16,1,5,2,8,1,1,0.875,8.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
2,3,1,1,10,0,4,0.7,0.4,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,0,1,2,21,1,11,0.048,1.167,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,4,5,1,14,0,13,0.929,1.0,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
14,2,8,2,12,1,2,1.0,4.667,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
3,3,2,1,30,1,5,0.267,0.5,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
9,1,1,1,25,0,11,0.12,0.75,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
8,1,8,0,26,1,2,0.385,2.667,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
2,2,8,2,6,1,7,2.0,0.25,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
15,4,7,0,25,1,11,0.6,1.25,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
20,0,1,1,14,1,14,0.071,1.333,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
8,1,8,1,11,0,8,0.909,0.889,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
5,4,7,0,11,1,6,1.364,0.714,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
1,2,8,2,6,1,15,2.0,0.062,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
17,2,5,2,21,0,2,0.429,5.667,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
11,1,4,1,15,1,11,0.4,0.917,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
2,2,7,1,6,1,15,1.833,0.125,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
